Long,Lat,STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,YR_SUB,RSTATUS,STATSTRU,LONGITUD,LATITUDE,LOCALE_ADD,REAPLOCALE_ADD,Data_Year,FID_L0USA_Counties_Generalized,GlobalID
-81.79995999999994,24.557450000000074,FL,FL0048,FSCS5051,MONROE COUNTY PUBLIC LIBRARY SYSTEM,700 FLEMING STREET,KEY LARGO,33037,M,101485 OVERSEAS HIGHWAY,KEY LARGO,33037,4553,MONROE,3058537349.0,NO,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,76889,75595,1,4,0,8.0,13.0,28.75,41.75,3205699,81529,0,94528,3381756,1890845,787084,2677929,96813,42909,25903,165625,375992,3219546,0,0,0,0,0,0,164863,5263,13946,897,24120,0,3,70,73,228,13660,355290,122073,38669,294457,78662,27839,266618,-1,27839,294457,159,1079,1674,947,169,44751,29819,2334,64,79405,83977,2017,1,0,-81.79996,24.55745,33,6,2017,-1,{6acd8cc2-05bc-4b73-87df-6070e12e76ae}
-80.19639099999995,25.774088000000063,FL,FL0025,FSCS5023,MIAMI-DADE PUBLIC LIBRARY SYSTEM,101 WEST FLAGLER STREET,MIAMI,33130,1535,101 WEST FLAGLER STREET,MIAMI,33130,1535,MIAMI-DADE,3053755016.0,NO,CO,MO,Y,CO2,N,10/01/2016,09/30/2017,2372439,2332519,1,49,3,126.0,137.0,380.0,517.0,62414282,1376980,0,1014934,64806196,23351305,9119001,32470306,2096348,882272,1200382,4179002,22752688,59401996,0,0,0,0,0,1308143,2772474,255760,75903,13284666,239095,55513,78,70,148,1459,116506,5473200,3316917,1253076,3939170,2015530,367181,3571989,408994,776175,4348164,333,367,16211,8533,2472,261090,130843,19715,2110,867774,-1,2017,1,0,-80.196391,25.774088,11,1,2017,2939,{beebf97a-ab25-4454-bbfa-1859f0bfc2f7}
-80.28587099999999,25.866724000000033,FL,FL0023,FSCS5021,HIALEAH PUBLIC LIBRARIES,190 WEST 49 STREET,HIALEAH,33012,3712,190 WEST 49 STREET,HIALEAH,33012,3712,MIAMI-DADE,3058212700.0,NO,CI,MO,Y,CI1,N,10/01/2016,09/30/2017,236114,232141,1,5,0,6.0,16.5,4.0,20.5,1718266,43000,0,25000,1786266,660141,490447,1150588,31414,9448,937,41799,240405,1432792,0,0,0,0,0,84002,143168,14181,1688,0,6474,0,0,70,70,65,6662,170862,209390,43395,45489,19575,204,45364,34806,35010,80374,1812,0,2713,508,59,22172,4460,504,196,55048,-1,2017,2,0,-80.285871,25.866724,21,3,2017,2939,{30f67fc5-ba59-45c4-8b17-44e698f8e0cd}
-80.19356199999999,25.867282000000046,FL,FL0022,FSCS5020,BROCKWAY MEMORIAL LIBRARY,10021 NORTHEAST SECOND AVENUE,MIAMI SHORES,33138,2303,10021 NORTHEAST SECOND AVENUE,MIAMI SHORES,33138,2303,MIAMI-DADE,3057588107.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,10761,10580,1,0,0,0.62,2.67,1.98,4.65,251134,10989,0,10404,272527,133697,39760,173457,21785,5033,6316,33134,63274,269865,0,0,0,0,0,27701,-1,36876,1205,21037,2131,1303,7,70,77,67,2047,36470,5613,7087,-1,16281,-1,-1,-1,-1,-1,575,608,205,120,0,4370,2988,0,14,9100,-1,2017,4,0,-80.193562,25.867282,21,3,2017,2939,{8e890a98-a959-453d-ba3c-d41f373f5205}
-80.18187799999998,25.89689100000004,FL,FL0103,FSCS5025,NORTH MIAMI PUBLIC LIBRARY,835 N.E. 132ND STREET,NORTH MIAMI,33161,4116,835 N.E. 132ND STREET,NORTH MIAMI,33161,4116,MIAMI-DADE,3058915535.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,63780,62707,1,0,0,3.2,3.2,4.05,7.25,1030880,25107,0,3549,1059536,417856,199386,617242,29444,21725,0,51169,267663,936074,50000,0,0,0,50000,68998,73843,165,702,0,2225,0,4,70,74,38,2450,105220,11045,30173,28988,15109,4132,24856,-1,4132,28988,2053,0,669,341,57,21827,15184,1087,23,36562,-1,2017,2,0,-80.181878,25.896891,21,3,2017,2939,{71a08f30-8ee8-4352-84a0-b05eb96e2e7c}
-80.16830799999997,25.926841000000024,FL,FL0024,FSCS5022,NORTH MIAMI BEACH PUBLIC LIBRARY,1601 NORTHEAST 164TH STREET,NORTH MIAMI BEACH,33162,4016,1601 NORTHEAST 164TH STREET,NORTH MIAMI BEACH,33162,4016,MIAMI-DADE,3059482970.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,45437,44672,1,0,0,4.0,4.3,11.0,15.3,883452,23183,0,0,906635,489891,107220,597111,25227,19500,2930,47657,195157,839925,0,0,0,0,0,43526,25227,11000,1089,201,5751,33,4,70,74,48,3040,263462,92899,38541,350773,126737,6853,-1,-1,6853,-1,0,1,306,161,38,16545,9182,799,45,28649,48477,2017,2,0,-80.168308,25.926841,21,3,2017,2939,{2a0edc9c-8345-49d3-b233-5fdd5e67b1df}
-80.14343499999995,26.12138900000008,FL,FL0012,FSCS5010,BROWARD COUNTY LIBRARIES DIVISION,100 S. ANDREWS AVE,FORT LAUDERDALE,33301,1830,100 S. ANDREWS AVE,FORT LAUDERDALE,33301,1830,BROWARD,9543577237.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,1873970,1842438,1,37,0,245.0,245.0,405.5,650.5,57404609,1717129,577243,1629677,61328658,27902394,11421810,39324204,2851139,2181101,2321803,7354043,14634368,61312615,616000,0,0,0,616000,686237,2350755,98820,276519,631902,421478,24671,33,70,103,2129,94599,7616931,1804754,759700,8239143,2517476,1801845,6437298,346549,2148394,8585692,9941,19975,20348,8106,1802,535707,278220,66857,2224,1637732,561780,2017,1,0,-80.143435,26.121389,12,2,2017,2937,{3e247bdf-45d3-41f6-9d95-9369b5f65e27}
-80.22772399999997,26.128272000000038,FL,FL0257,FSCS5011,HELEN B. HOFFMAN PLANTATION LIBRARY,501 N. FIG TREE LANE,PLANTATION,33317,1849,501 N. FIG TREE LANE,PLANTATION,33317,1849,BROWARD,9547972140.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,88619,87128,1,0,0,2.0,6.0,6.0,12.0,827373,0,0,35000,862373,455811,294089,749900,47600,11500,1800,60900,80000,890800,0,0,0,0,0,0,61100,292,926,4,1003,0,0,70,70,72,2814,95494,52643,16696,57802,25636,-1,-1,-1,-1,-1,0,0,257,170,0,28804,18283,0,9,10093,-1,2017,2,0,-80.227724,26.128272,21,3,2017,2937,{e0fcc6d8-8e2c-48cd-896a-6710877439db}
-80.14008699999994,26.15928400000007,FL,FL0016,FSCS5014,RICHARD C. SULLIVAN PUBLIC LIBRARY OF WILTON MANORS,500 N.E. 26TH STREET,WILTON MANORS,33305,1141,500 N.E. 26TH STREET,WILTON MANORS,33305,1141,BROWARD,9543902195.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,12662,12449,1,0,0,3.58,4.58,2.58,7.16,737045,19693,0,0,756738,434544,192912,627456,36399,8914,6755,52068,58393,737917,5000,0,0,0,5000,14294,31875,5670,2038,439,2213,35,8,70,78,116,2180,29671,6605,14874,40117,14234,1413,40117,-1,1413,41530,369,798,109,98,0,3242,3088,0,12,14734,-1,2017,2,0,-80.140087,26.159284,21,3,2017,2937,{81620a54-e7b6-418c-b023-9e59ceb53b3c}
-80.12973799999997,26.173219000000074,FL,FL0014,FSCS5013,ETHEL M. GORDON OAKLAND PARK LIBRARY,1298 N.E. 37TH STREET,OAKLAND PARK,33334,4569,1298 N.E. 37TH STREET,OAKLAND PARK,33334,4569,BROWARD,9546304366.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,44409,43662,1,0,0,4.0,4.0,2.0,6.0,642786,17170,0,8216,668172,313683,111576,425259,38549,11980,7608,58137,192935,676331,0,0,0,0,0,0,50157,11755,2680,441,6063,469,5,70,75,130,2592,45000,21776,33337,60388,16236,3000,57388,2919,5919,63307,0,240,415,320,20,4384,3692,191,25,15916,-1,2017,2,0,-80.129738,26.173219,21,3,2017,2937,{3479e6d2-c0b6-4481-9ffa-f899c5fef45c}
-81.76974999999999,26.232871000000046,FL,FL0020,FSCS5018,COLLIER COUNTY PUBLIC LIBRARY,2385 ORANGE BLOSSOM DRIVE,NAPLES,34109,8840,2385 ORANGE BLOSSOM DRIVE,NAPLES,34109,8840,COLLIER,2395933511.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,357470,351455,1,9,0,24.0,24.0,67.5,91.5,7902918,221236,0,333892,8458046,3569707,1581111,5150818,704465,454136,144567,1303168,2037433,8491419,0,0,0,0,0,0,371694,81205,24362,4146,72556,3225,13,70,83,713,23460,1285052,333617,217478,2042199,449284,260511,1781688,151352,411863,2193551,1740,1615,2288,1417,136,71101,33825,1748,154,137706,134580,2017,1,0,-81.76975,26.232871,21,4,2017,83,{9abd3dbb-5add-4989-8f92-bf7c18185120}
-80.09393899999998,26.27768400000008,FL,FL0013,FSCS5012,DOREEN GAUTHIER LIGHTHOUSE POINT LIBRARY,2200 N.E. 38TH STREET,LIGHTHOUSE POINT,33064,3950,2200 N.E. 38TH STREET,LIGHTHOUSE POINT,33064,3950,BROWARD,9549466398.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,10526,10349,1,0,0,2.0,2.0,1.75,3.75,346198,0,24219,3150,373567,226259,66400,292659,39000,6000,3500,48500,37156,378315,0,0,0,0,0,0,42530,5981,1223,438,1219,26,8,70,78,87,2520,35000,5491,5695,41272,20000,942,-1,3447,4389,-1,0,0,517,118,24,5256,2567,235,11,5580,1303,2017,2,0,-80.093939,26.277684,21,3,2017,2937,{74b0cbe9-5c83-4d5f-af08-120c9faa8bc7}
-80.25243799999998,26.314107000000035,FL,FL0240,FL0240,PARKLAND LIBRARY,6620 UNIVERSITY DRIVE,PARKLAND,33067,2500,6620 UNIVERSITY DRIVE,PARKLAND,33067,2500,BROWARD,9547574200.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,31476,30946,1,0,0,1.71,4.77,6.26,11.03,620521,70454,1876,27878,720729,339843,107838,447681,43710,10729,11447,65886,183028,696595,0,0,0,0,0,97658,-1,44883,2642,24062,4806,1666,6,70,76,111,1848,89318,14226,16205,-1,32869,-1,-1,-1,-1,-1,1119,911,380,206,0,7294,4801,0,31,19926,-1,2017,4,0,-80.252438,26.314107,21,3,2017,2937,{fc924ef4-6382-4d6a-b93b-1ab7de9fae7a}
-80.11418699999996,26.386654000000078,FL,FL0056,FSCS5063,BOCA RATON PUBLIC LIBRARY,1501 NW SPANISH RIVER BLVD.,BOCA RATON,33431,4499,1501 NW SPANISH RIVER BLVD.,BOCA RATON,33431,4499,PALM BEACH,5613937852.0,NO,CI,MO,Y,CI1,N,10/01/2016,09/30/2017,91797,90252,0,2,0,8.0,9.0,67.5,76.5,4802500,0,0,1130,4803630,2397800,640000,3037800,288415,204689,116248,609352,1155348,4802500,0,0,0,0,0,0,175185,232977,20834,326128,37396,15697,28,70,98,410,7344,524934,247223,33161,776505,318359,81100,695405,134325,215425,910830,1509,197,1775,1067,24,49078,32796,280,82,78364,-1,2017,1,0,-80.114187,26.386654,13,2,2017,2940,{93ad5760-9571-49b4-9365-8a5b20c3e90e}
-80.06487099999998,26.410937000000047,FL,FL0133,FSCS5066,HIGHLAND BEACH LIBRARY,3618 S. OCEAN BLVD.,HIGHLAND BEACH,33487,3393,3618 S. OCEAN BLVD.,HIGHLAND BEACH,33487,3393,PALM BEACH,5612785455.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,3609,3548,1,0,0,0.13,1.25,0.7,1.95,64332,1485,0,2884,68701,-9,-9,-9,6388,581,1665,8634,-9,78119,0,0,0,0,0,1510,-1,28184,464,21419,1083,1118,1,70,71,49,1678,12898,3013,3351,-1,3663,-1,-1,-1,-1,-1,234,236,68,40,0,1104,787,0,11,4061,-1,2017,4,0,-80.064871,26.410937,21,3,2017,-1,{cec4d5f5-0576-4ae3-8069-87067b650ebf}
-82.07187899999997,26.44029000000006,FL,FL0043,FSCS5046,SANIBEL PUBLIC LIBRARY,770 DUNLOP ROAD,SANIBEL,33957,4016,770 DUNLOP ROAD,SANIBEL,33957,4016,LEE,2394722483.0,NO,LD,SO,Y,CI1,N,10/01/2016,09/30/2017,6659,6547,1,0,0,4.0,5.0,8.5,13.5,1672593,48700,0,176739,1898032,783531,205747,989278,59333,38963,30216,128512,762774,1880564,0,0,0,1893604,1893604,226815,43157,3641,4373,3000,6652,3000,10,70,80,200,2808,128002,10496,11452,129104,18180,20985,89938,-1,20985,110923,740,812,205,180,0,9261,2200,0,18,6985,24552,2017,2,0,-82.071879,26.44029,41,8,2017,-1,{42d8d2a0-1144-4134-897a-90171d4ae8a7}
-81.93923899999999,26.447452000000055,FL,FL0041,FSCS5044,FORT MYERS BEACH PUBLIC LIBRARY,2755 ESTERO BLVD.,FORT MYERS BEACH,33931,3504,2755 ESTERO BLVD.,FORT MYERS BEACH,33931,3504,LEE,2394639691.0,ME,CI,SO,Y,CI2,N,10/01/2016,09/30/2017,37273,36646,1,0,0,5.0,5.0,6.0,11.0,1374000,34244,0,47201,1455445,380452,86882,467334,42933,14111,14017,71061,599000,1137395,0,0,0,0,0,0,63199,700,7410,0,11669,0,1,70,71,172,2548,174415,890,6431,63442,5838,2177,-1,-1,2177,-1,708,74,342,74,5,5081,959,15,16,13046,9923,2017,1,0,-81.939239,26.447452,21,4,2017,-1,{9803f2e9-f744-4bb6-8235-3effe8bb9c4f}
-80.07421999999997,26.461550000000045,FL,FL0248,FL0248,DELRAY BEACH LIBRARY,100 WEST ATLANTIC AVENUE,DELRAY BEACH,33444,3662,100 WEST ATLANTIC AVENUE,DELRAY BEACH,33444,3662,PALM BEACH,5612660194.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,65804,64697,1,0,0,6.0,7.0,14.23,21.23,1785187,69445,0,782547,2637179,1009499,298453,1307952,197982,23000,24349,245331,656429,2209712,0,0,0,0,0,160095,130718,5924,4370,435,6198,32,6,70,76,300,3006,428451,42919,31351,168215,40277,10074,158141,12774,22848,180989,297,458,1506,516,0,19663,6881,0,63,43026,102200,2017,2,0,-80.07422,26.46155,13,2,2017,-1,{72934812-c4b4-4bc2-a716-f7ddcc1c0fae}
-80.06407499999995,26.52607900000004,FL,FL0247,FL0247,BOYNTON BEACH CITY LIBRARY,208 S. SEACREST BLVD.,BOYNTON BEACH,33435,4452,208 S. SEACREST BLVD.,BOYNTON BEACH,33435,4452,PALM BEACH,5617426380.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,73992,72747,1,0,0,9.0,9.0,17.5,26.5,2553650,71088,0,53118,2677856,1317023,569478,1886501,127104,44870,27447,199421,536664,2622586,0,0,0,0,0,0,113238,5924,7006,5737,13390,26,10,70,80,95,2838,262782,54289,26522,190044,61445,15440,174604,26989,42429,217033,984,35,544,228,141,12115,4537,2575,93,58065,72192,2017,1,0,-80.064075,26.526079,21,3,2017,-1,{6255389a-7e95-4ffc-a0af-e6f7ba453b7a}
-80.05260099999998,26.584479000000044,FL,FL0251,FL0251,LANTANA PUBLIC LIBRARY,205 WEST OCEAN AVENUE,LANTANA,33462,2863,205 WEST OCEAN AVENUE,LANTANA,33462,2863,PALM BEACH,5615405740.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,10797,10615,1,0,0,1.0,1.0,0.62,1.62,173509,4281,0,5302,183092,-9,-9,-9,22508,734,0,23242,-9,163772,0,0,0,0,0,0,24293,4900,0,0,0,0,5,70,75,66,2256,36592,5632,17671,12014,3364,273,11741,-1,273,12014,0,0,24,1,0,175,3,0,2,2479,1739,2017,2,0,-80.052601,26.584479,21,3,2017,-1,{3af562f4-6c02-4431-b41f-3b6c48c78d3c}
-80.05341399999998,26.61598900000007,FL,FL0250,FL0250,LAKE WORTH PUBLIC LIBRARY,15 NORTH M STREET,LAKE WORTH,33460,3814,15 NORTH M STREET,LAKE WORTH,33460,3814,PALM BEACH,5615337354.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,37946,37308,1,0,0,2.0,3.0,3.2,6.2,524465,13011,0,18000,555476,228218,85237,313455,50223,4090,5800,60113,211016,584584,0,0,0,0,0,0,45325,13732,820,30,1700,8,1,70,71,41,1952,55000,4959,15696,43343,15128,658,42663,-1,658,43321,132,95,261,233,0,7396,7168,0,15,22105,4600,2017,1,0,-80.053414,26.615989,21,3,2017,-1,{e8857cab-8650-406f-abd6-7f84e2ea170b}
-81.86559799999998,26.638591000000076,FL,FL0042,FL0042,LEE COUNTY LIBRARY SYSTEM,2345 UNION STREET,FORT MYERS,33901,3924,2345 UNION STREET,FORT MYERS,33901,3924,LEE,2395334800.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,698468,686715,0,14,1,74.0,80.0,135.0,215.0,34240937,1211706,0,2147657,37600300,8943938,3937904,12881842,2455776,1224153,665639,4345568,10221513,27448923,8107866,0,0,0,8107866,1343328,926488,362256,85866,354562,218180,16218,51,70,121,2013,33620,1165326,1165326,282935,6684562,2040240,1473481,5211081,344812,1818293,7029374,3741,6227,3982,1773,536,83703,44804,17174,542,359451,899804,2017,1,0,-81.865598,26.638591,13,2,2017,107,{d84573fb-1c4a-4bee-a381-997f7f29793f}
-80.09547099999997,26.64231200000006,FL,FL0252,FL0252,PALM SPRINGS PUBLIC LIBRARY,217 CYPRESS LANE,PALM SPRINGS,33461,1603,217 CYPRESS LANE,PALM SPRINGS,33461,1603,PALM BEACH,5619652204.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,23250,22859,1,0,0,2.0,2.0,8.6,10.6,728067,21633,2314,0,752014,401112,184297,585409,14134,6450,8627,29211,53303,667923,0,0,0,0,0,44609,47611,6114,1192,441,4411,0,2,70,72,85,3059,78896,32736,8786,37613,17225,1508,37613,-1,1508,39121,35,107,317,145,69,5134,2849,1067,24,27164,27164,2017,1,0,-80.095471,26.642312,21,3,2017,2940,{0796575d-21e2-4d8e-aac6-afce3861bd33}
-80.09802799999994,26.663628000000074,FL,FL0246,FL0246,PALM BEACH COUNTY LIBRARY SYSTEM,3650 SUMMIT BOULEVARD,WEST PALM BEACH,33406,4114,3650 SUMMIT BOULEVARD,WEST PALM BEACH,33406,4114,PALM BEACH,5612332600.0,NO,CO,MO,Y,CO2,N,10/01/2016,09/30/2017,930167,914516,1,17,1,126.0,126.0,349.3,475.3,46700585,1163494,817,3219015,51083911,19084462,7674004,26758466,4662927,1590441,1224319,7477687,9570467,43806620,3448516,0,0,225531,3674047,0,1604515,57710,104284,37685,213697,6682,44,70,114,3188,50772,4282754,1748088,648684,8302594,2706696,1259231,7048844,154663,1413894,8462738,5239,5474,10737,7486,546,258096,203416,5917,1112,892037,345695,2017,1,0,-80.098028,26.663628,21,3,2017,2940,{16da491a-29e5-4488-ab3f-29f226a5524b}
-80.05401299999994,26.71341700000005,FL,FL0254,FL0254,MANDEL PUBLIC LIBRARY OF WEST PALM BEACH,411 CLEMATIS ST.,WEST PALM BEACH,33401,5319,411 CLEMATIS ST.,WEST PALM BEACH,33401,5319,PALM BEACH,5618687700.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,110396,108538,1,0,0,21.5,21.5,22.5,44.0,4728928,115432,85000,416447,5345807,2241413,741156,2982569,245475,230182,143134,618791,1394673,4996033,293111,74303,0,10800,378214,211915,168612,8488,6757,1495,35983,0,1,70,71,237,3069,469409,85460,109658,696488,184298,60870,589135,46483,107353,696488,380,142,3289,1247,407,79824,37343,3253,213,153136,34075,2017,1,0,-80.054013,26.713417,12,2,2017,-1,{de9a58a0-b20f-4fb1-b000-bea5fd99a668}
-80.93436999999994,26.755791000000045,FL,FL0032,FSCS5034,HENDRY COUNTY LIBRARY SYSTEM,120 WEST OSCEOLA AVENUE,CLEWISTON,33440,2910,120 WEST OSCEOLA AVENUE,CLEWISTON,33440,2910,HENDRY,8639831493.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,39057,38400,1,2,0,1.0,3.0,4.0,7.0,391677,176785,4500,41122,614084,290387,113773,404160,28160,4198,0,32358,190719,627237,0,0,0,0,0,0,96873,7682,1622,0,2332,0,10,70,80,33,6812,83614,19152,31696,113633,29652,48743,-1,38201,86944,-1,508,322,836,477,0,12902,8829,0,86,19874,1863,2017,2,0,-80.93437,26.755791,33,6,2017,97,{13672fe8-66b4-4b72-91a8-cef65adc36af}
